name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
RED TRAIL ENERGY LLC,REGX,1359687,75703V103,OTC,True,Domestic Common Stock,Basic Materials,Specialty Chemicals,2860,Manufacturing,Industrial Organic Chemicals,,Chemicals,USD,North Dakota; U.S.A,91c3e6f77e04c908ae60d64d5c4e612a
SOUTHERN CONCEPTS RESTAURANT GROUP INC,RIBS,1445918,101808103 84264D106 83267U107,OTC,True,Domestic Common Stock,Consumer Cyclical,Restaurants,5810,Retail Trade,Retail-Eating & Drinking Places,,Restaraunts Hotels Motels,USD,Colorado; U.S.A,3f56be3fe63ebddec108868d524a72f0
RICOH CO LTD,RICOY,317891,765658307,OTC,True,ADR Common Stock,Technology,Computer Hardware,3861,Manufacturing,Photographic Equipment & Supplies,,Consumer Goods,JPY,Japan,71de003aadfe9199b74174ccc80f0c28
RELIANCE BANCSHARES INC,RLBS,1397771,759450109,OTC,True,Domestic Common Stock,Financial Services,Banks - Regional,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,Missouri; U.S.A,ce40c2452459b1eb5d0efb43f51aa0ce
RESPONSE BIOMEDICAL CORP,RPBIF,806888,76123L303 76123L105 76123L204,OTC,True,Domestic Common Stock,Healthcare,Diagnostics & Research,8734,Services,Services-Testing Laboratories,,Business Services,CAD,British Columbia; Canada,10afce360654e29bb490c96db9c4bce8
SOUTHEASTERN BANK FINANCIAL CORP,SBFC,880116,841584105,OTC,True,Domestic Common Stock,Financial Services,Banks - Regional,6022,Finance Insurance And Real Estate,State Commercial Banks,,Banking,USD,Georgia; U.S.A,4f7b3f5c02f38783f4299c0e7257abee
SCRIPSAMERICA INC,SCRCQ,1521476,811066109,OTC,True,Domestic Common Stock,Consumer Cyclical,Leisure,5122,Wholesale Trade,Wholesale-Drugs Proprietaries & Druggists' Sundries,,Wholesale,USD,Virginia; U.S.A,7f4ebcee41c87e1fd22321362fcfeca3
SYSTEMS EVOLUTION INC,SEVIE,104375,43112C108 872012109,OTC,True,Domestic Common Stock,Technology,Software - Application,7371,Services,Services-Computer Programming Services,,Business Services,USD,Arkansas; U.S.A,c8589cf817cc4d63e906c7e56c360e93
ST JOHN KNITS INTERNATIONAL INC,SJKI,1080280,79025Q107,OTC,True,Domestic Common Stock,Consumer Cyclical,Textile Manufacturing,2253,Manufacturing,Knit Outerwear Mills,,Textiles,USD,California; U.S.A,721572c41a2eb4478f7534d3a345c699
SOLO INTERNATIONAL INC,SLIO,1501845,83427E209,OTC,True,Domestic Common Stock,Technology,Software - Application,7389,Services,Services-Business Services Nec,,Business Services,USD,Nevada; U.S.A,dce7246ce8045488e5108e3a18243ad5
SOUTHERN TRUST SECURITIES HOLDING CORP,SOHL,1326250,844024109,OTC,True,Domestic Common Stock,Financial Services,Asset Management,6200,Finance Insurance And Real Estate,Security & Commodity Brokers Dealers Exchanges & Services,,Trading,USD,Florida; U.S.A,d6cd068a88ed7822f5362dc4417867e0
SPACEDEV INC,SPDV1,1031833,846241107,OTC,True,Domestic Common Stock,Industrials,Aerospace & Defense,3760,Manufacturing,Guided Missiles & Space Vehicles & Parts,,Defense,USD,California; U.S.A,d1dcb493acedb92d787c36f44f5b4643
SPUTNIK ENTERPRISES INC,SPNI,1326917,85219U200,OTC,True,Domestic Common Stock,Technology,Communication Equipment,3576,Manufacturing,Computer Communications Equipment,,Computers,USD,Florida; U.S.A,64aa55b75a6c38df2862ef51c3d99858
SEQUIAM CORP,SQUM,1123606,94845Y107,OTC,True,Domestic Common Stock,Technology,Software - Application,7373,Services,Services-Computer Integrated Systems Design,,Computers,USD,Florida; U.S.A,4f3120dd4beddae21cfb30220626b476
SIERRA MONITOR CORP,SRMC,100625,826400103,OTC,True,Domestic Common Stock,Technology,Scientific & Technical Instruments,3829,Manufacturing,Measuring & Controlling Devices Nec,,Measuring and Control Equipment,USD,California; U.S.A,a71dd386ced069c1865e23d3aae0e801
SURREY BANCORP,SRYB,1229146,86888W105,OTC,True,Domestic Common Stock,Financial Services,Banks - Regional,6022,Finance Insurance And Real Estate,State Commercial Banks,,Banking,USD,North Carolina; U.S.A,0ff44a976c4b49376a0596d5c92478e9
SUNSHINE FINANCIAL INC,SSNF,1500837,86782T109,OTC,True,Domestic Common Stock,Financial Services,Banks - Regional,6035,Finance Insurance And Real Estate,Savings Institution Federally Chartered,,Banking,USD,Florida; U.S.A,91915fc0f812d74b9c0dce08cba7513a
SURE TRACE SECURITY CORP,SSTY,736314,86866W101,OTC,True,Domestic Common Stock,Technology,Software - Application,7389,Services,Services-Business Services Nec,,Business Services,USD,Alberta; Canada,92e76233e013fd5ff1ca7f3784d361a8
