name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
GULFSTREAM INTERNATIONAL GROUP INC,GIGIQ,1405419,402738108,NYSEMKT,True,Domestic Common Stock,Industrials,Airlines,4512,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,,Transportation,USD,Florida; U.S.A,ffbabf5587d3b4467f8bbdb8c8ee1193
WILBER CORP,GIW1,709942,967797101,NYSEMKT,True,Domestic Common Stock,Financial Services,Banks - Regional,6022,Finance Insurance And Real Estate,State Commercial Banks,,Banking,USD,New York; U.S.A,4e2b5e2244bc22f9dd7a2dfca2413b50
GK INTELLIGENT SYSTEMS INC,GKI,1024095,361751100,NYSEMKT,True,Domestic Common Stock,Technology,Software - Application,7371,Services,Services-Computer Programming Services,,Business Services,USD,Texas; U.S.A,ea738b3139ec92cd258275d3581c6fdc
CLARK HOLDINGS INC,GLA1,1338401,379414105 18145M109 379414204 18145M208,NYSEMKT,True,Domestic Common Stock,Industrials,Travel Services,4700,Transportation Communications Electric Gas And Sanitary Service,Transportation Services,,Transportation,USD,New Jersey; U.S.A,e088fff904c853e0a4a08a371e529578
GOLDMINING INC,GLDG,1538847,38149E101,NYSEMKT,False,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,CAD,British Columbia; Canada,b495307734a02ab34560cac27050758f
GLOBAL ELECTION SYSTEMS INC,GLE2,1060444,37932L108,NYSEMKT,True,Domestic Common Stock,Technology,Software - Application,7373,Services,Services-Computer Integrated Systems Design,,Computers,USD,Texas; U.S.A,b8c8f3aee3435273e92a6d3d77c592d9
GULFMARK OFFSHORE INC,GLF,1030749,402629505,NYSEMKT,True,Domestic Common Stock,Energy,Oil & Gas Equipment & Services,3533,Manufacturing,Oil & Gas Field Machinery & Equipment,,Machinery,USD,Texas; U.S.A,f952b4f7d09fa0a806527b2f8b6d7785
GLOBAL ENERGY HOLDINGS GROUP INC,GLNHQ,1145061,37991A100 98420A103,NYSEMKT,True,Domestic Common Stock,Basic Materials,Building Products & Equipment,3250,Manufacturing,Structural Clay Products,,Construction Materials,USD,Georgia; U.S.A,2b74538b05e978ed6de81c614484204c
MAGIC LANTERN GROUP INC,GMLI,811933,559141106 852542109,NYSEMKT,True,Domestic Common Stock,Consumer Defensive,Education & Training Services,8200,Services,Services-Educational Services,,Personal Services,USD,Ontario; Canada,6f4de3ece1941ccdda130e6be7de1e1a
GENERAL MOLY INC,GMOLQ,1275229,370373102 451272306,NYSEMKT,True,Domestic Common Stock,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,Colorado; U.S.A,17d5e410433ea658eecc87a78e28da8a
GREENMAN TECHNOLOGIES INC,GMTI,932699,395379308 395379100 02906V102,NYSEMKT,True,Domestic Common Stock,Basic Materials,Building Products & Equipment,3089,Manufacturing,Plastics Products Nec,,Rubber and Plastic Products,USD,Massachusetts; U.S.A,4d23400a99744d3155e20730cd8456d6
GENERAL MICROWAVE CORP,GMW,40703,370307100,NYSEMKT,True,Domestic Common Stock,Technology,Electronic Components,3679,Manufacturing,Electronic Components Nec,,Electronic Equipment,USD,New York; U.S.A,2b828cb1e6fe490c81bed521ec3106c2
GLOBALINK INC,GNK1,899679,37936V102,NYSEMKT,True,Domestic Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,Virginia; U.S.A,78fd5e1fdb17ca2f473b2866ee37f08e
GENIUS GROUP LTD,GNS,1847806,Y3005A109,NYSEMKT,False,ADR Common Stock,Consumer Defensive,Education & Training Services,8200,Services,Services-Educational Services,,Personal Services,USD,Singapore,70e40b34c43914427c047a1fc3ac8630
GOLD RESOURCE CORP,GORO,1160791,38068T105,NYSEMKT,False,Domestic Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Colorado; U.S.A,3b36b1b2bc2efedd3f8ad1da1b0cdec0
GOUVERNEUR BANCORP INC,GOVB1,1063942,383584109 383584208,NYSEMKT,True,Domestic Common Stock,Financial Services,Banks - Regional,6035,Finance Insurance And Real Estate,Savings Institution Federally Chartered,,Banking,USD,New York; U.S.A,416397060c44a7d33fe7221480c51d85
GREAT PANTHER MINING LTD,GPLDF,1300050,39115V101 39115V309 39115T106,NYSEMKT,True,Canadian Common Stock,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,CAD,British Columbia; Canada,95a2a7d4cd6d39f00796ea2b856960aa
GREEN BUILDERS INC,GRBUQ,828189,972234108 392744108,NYSEMKT,True,Domestic Common Stock,Real Estate,Real Estate - Diversified,6552,Finance Insurance And Real Estate,Land Subdividers & Developers (No Cemeteries),,Real Estate,USD,Texas; U.S.A,fad6972f8794138beac529bdd2d0bfb0
GRAPHEX GROUP LTD,GRFX,1816723,38867H104,NYSEMKT,False,ADR Common Stock,Basic Materials,Other Industrial Metals & Mining,3620,Manufacturing,Electrical Industrial Apparatus,,Electrical Equipment,HKD,Hong Kong,a533c287f5648147ed586752bb002dcd
